Location,size,Area,Price,area_per_bhk,price_per_area
Adambakkam,1,560,2800000,560.0,5000.0
Adambakkam,2,1000,8000000,500.0,8000.0
Adambakkam,3,1293,10000000,431.0,7733.952049497293
Adambakkam,3,1355,10700000,451.6666666666667,7896.678966789668
Adambakkam,3,1355,10700000,451.6666666666667,7896.678966789668
Adambakkam,2,1000,5500000,500.0,5500.0
Adambakkam,2,956,6681999,478.0,6989.53870292887
Adambakkam,2,995,8000000,497.5,8040.201005025126
Adambakkam,1,510,3167000,510.0,6209.803921568628
Adambakkam,2,954,4500000,477.0,4716.981132075472
Adambakkam,2,881,7998999,440.5,9079.454029511919
Adambakkam,2,950,3100000,475.0,3263.157894736842
Adyar,3,1975,30000000,658.3333333333334,15189.87341772152
Adyar,4,2380,34000000,595.0,14285.714285714286
Adyar,3,1451,22400000,483.6666666666667,15437.62922122674
Adyar,2,1000,7000000,500.0,7000.0
Adyar,2,1090,12000000,545.0,11009.174311926605
Adyar,3,1800,5808000,600.0,3226.6666666666665
Adyar,4,3595,48600000,898.75,13518.776077885952
Adyar,4,3615,57000000,903.75,15767.634854771784
Adyar,4,2610,26000000,652.5,9961.68582375479
Adyar,3,2000,4605000,666.6666666666666,2302.5
Adyar,3,1200,5426000,400.0,4521.666666666667
Adyar,3,1200,4882000,400.0,4068.3333333333335
Adyar,3,2017,5460000,672.3333333333334,2706.99058006941
Adyar,3,1851,5375000,617.0,2903.8357644516477
Adyar,3,1500,7900000,500.0,5266.666666666667
Adyar,2,1550,12500000,775.0,8064.5161290322585
Adyar,4,2380,19500000,595.0,8193.27731092437
Adyar,3,1500,18300000,500.0,12200.0
Adyar,3,1545,23200000,515.0,15016.181229773463
Adyar,3,2500,7000000,833.3333333333334,2800.0
Adyar,3,1500,18300000,500.0,12200.0
Adyar,3,1545,23200000,515.0,15016.181229773463
Adyar,3,2500,7000000,833.3333333333334,2800.0
Adyar,3,2235,11000000,745.0,4921.700223713647
Adyar,3,2777,6800000,925.6666666666666,2448.6856319769536
Adyar,2,1618,3769000,809.0,2329.4190358467245
Adyar,2,1618,8200000,809.0,5067.985166872682
Alwarpet,2,1000,11500000,500.0,11500.0
Alwarpet,3,3050,54900000,1016.6666666666666,18000.0
Alwarpet,3,2316,32500000,772.0,14032.815198618307
Alwarpet,3,3050,54900000,1016.6666666666666,18000.0
Alwarpet,3,2348,13700000,782.6666666666666,5834.752981260647
Alwarpet,3,2348,21400000,782.6666666666666,9114.139693356048
Alwarpet,3,2476,27300000,825.3333333333334,11025.848142164781
Alwarpet,3,2348,22700000,782.6666666666666,9667.802385008517
Alwarpet,3,2476,27599999,825.3333333333334,11147.010904684976
Alwarpet,3,2348,26400000,782.6666666666666,11243.611584327087
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,946,5203000,473.0,5500.0
Ambattur,2,856,4708000,428.0,5500.0
Ambattur,2,967,5318000,483.5,5499.482936918304
Ambattur,1,541,2975000,541.0,5499.075785582255
Ambattur,1,426,2343000,426.0,5500.0
Ambattur,2,707,3888000,353.5,5499.292786421499
Ambattur,2,707,3888000,353.5,5499.292786421499
Ambattur,3,1235,6934999,411.6666666666667,5615.383805668016
Ambattur,2,1235,6934999,617.5,5615.383805668016
Ambattur,2,939,5808000,469.5,6185.303514376997
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,927,5737000,463.5,6188.7810140237325
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,939,5808000,469.5,6185.303514376997
Ambattur,2,872,4635000,436.0,5315.366972477064
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,927,5737000,463.5,6188.7810140237325
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,886,4705000,443.0,5310.38374717833
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,939,5808000,469.5,6185.303514376997
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,886,4705000,443.0,5310.38374717833
Ambattur,2,886,4705000,443.0,5310.38374717833
Ambattur,2,939,5808000,469.5,6185.303514376997
Ambattur,2,886,4705000,443.0,5310.38374717833
Ambattur,2,939,5808000,469.5,6185.303514376997
Ambattur,2,939,5808000,469.5,6185.303514376997
Ambattur,2,939,5808000,469.5,6185.303514376997
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,886,4705000,443.0,5310.38374717833
Ambattur,2,886,3986999,443.0,4499.998871331828
Ambattur,2,872,3924000,436.0,4500.0
Ambattur,2,927,5737000,463.5,6188.7810140237325
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,886,3986999,443.0,4499.998871331828
Ambattur,2,872,3924000,436.0,4500.0
Ambattur,2,872,3800000,436.0,4357.798165137615
Ambattur,2,939,6500000,469.5,6922.2577209797655
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,6400000,360.5,8876.560332871013
Ambattur,2,721,3244000,360.5,4499.3065187239945
Ambattur,2,721,3800000,360.5,5270.457697642164
Ambattur,2,939,4635000,469.5,4936.102236421725
Ambattur,2,872,4635000,436.0,5315.366972477064
Ambattur,2,872,4200000,436.0,4816.51376146789
Ambattur,2,721,3244000,360.5,4499.3065187239945
Ambattur,2,721,4635000,360.5,6428.571428571428
Ambattur,2,872,3250000,436.0,3727.064220183486
Ambattur,2,939,5737000,469.5,6109.6911608093715
Ambattur,2,927,5737000,463.5,6188.7810140237325
Ambattur,2,927,5808000,463.5,6265.37216828479
Ambattur,2,939,3000000,469.5,3194.888178913738
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,1047,4737000,523.5,4524.355300859599
Ambattur,2,1053,6717000,526.5,6378.917378917379
Ambattur,2,721,4635000,360.5,6428.571428571428
Ambattur,2,872,4635000,436.0,5315.366972477064
Ambattur,2,872,3244000,436.0,3720.183486238532
Ambattur,2,721,5400000,360.5,7489.597780859916
Ambattur,2,939,8500000,469.5,9052.183173588925
Ambattur,2,939,8500000,469.5,9052.183173588925
Ambattur,2,927,7898000,463.5,8519.956850053937
Ambattur,2,721,5737000,360.5,7957.004160887656
Ambattur,2,927,3881000,463.5,4186.623516720604
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,4635000,360.5,6428.571428571428
Ambattur,2,872,4635000,436.0,5315.366972477064
Ambattur,2,872,3881000,436.0,4450.688073394495
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,2630000,360.5,3647.7115117891817
Ambattur,2,1025,4508000,512.5,4398.048780487805
Ambattur,2,721,2751000,360.5,3815.5339805825242
Ambattur,2,721,4635000,360.5,6428.571428571428
Ambattur,2,939,5737000,469.5,6109.6911608093715
Ambattur,2,721,3800000,360.5,5270.457697642164
Ambattur,2,927,4600000,463.5,4962.243797195253
Ambattur,2,872,3244000,436.0,3720.183486238532
Ambattur,2,721,3886999,360.5,5391.122052704577
Ambattur,2,939,5737000,469.5,6109.6911608093715
Ambattur,2,927,3881000,463.5,4186.623516720604
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,4500000,360.5,6241.331484049931
Ambattur,2,872,4635000,436.0,5315.366972477064
Ambattur,2,872,3800000,436.0,4357.798165137615
Ambattur,2,927,3244000,463.5,3499.4606256742177
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,872,4635000,436.0,5315.366972477064
Ambattur,2,872,3499000,436.0,4012.6146788990827
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,5808000,360.5,8055.478502080444
Ambattur,2,939,5808000,469.5,6185.303514376997
Ambattur,2,939,5737000,469.5,6109.6911608093715
Ambattur,2,927,3881000,463.5,4186.623516720604
Ambattur,2,721,3881000,360.5,5382.801664355063
Ambattur,2,721,4635000,360.5,6428.571428571428
Ambattur,2,872,3000000,436.0,3440.3669724770643
Ambattur,2,939,5737000,469.5,6109.6911608093715
Ambattur,2,927,3881000,463.5,4186.623516720604
Ambattur,2,721,3881000,360.5,5382.801664355063
