Location,size,Area,Price,area_per_bhk,price_per_area
Airoli,1,400,6200000,400.0,15500.0
Airoli,2,1245,14900000,622.5,11967.871485943775
Airoli,2,1183,14000000,591.5,11834.31952662722
Airoli,1,495,6400000,495.0,12929.29292929293
Airoli,1,495,3800000,495.0,7676.767676767677
Airoli,2,1050,15500000,525.0,14761.904761904761
Airoli,1,600,7000000,600.0,11666.666666666666
Airoli,1,600,6694000,600.0,11156.666666666666
Airoli,1,650,7600000,650.0,11692.307692307691
Airoli,1,650,7731000,650.0,11893.846153846154
Airoli,1,650,9500000,650.0,14615.384615384615
Airoli,1,780,6600000,780.0,8461.538461538461
Airoli,1,640,7800000,640.0,12187.5
Airoli,1,660,7800000,660.0,11818.181818181818
Airoli,1,660,5900000,660.0,8939.39393939394
Airoli,1,666,5900000,666.0,8858.85885885886
Airoli,1,666,7500000,666.0,11261.261261261261
Airoli,1,1050,7000000,1050.0,6666.666666666667
Airoli,1,700,7000000,700.0,10000.0
Airoli,1,680,7000000,680.0,10294.117647058823
Airoli,1,650,9000000,650.0,13846.153846153846
Airoli,1,675,2400000,675.0,3555.5555555555557
Airoli,1,600,16800000,600.0,28000.0
Airoli,1,600,8700000,600.0,14500.0
Ambernath East,1,730,3874000,730.0,5306.8493150684935
Ambernath East,1,690,2300000,690.0,3333.3333333333335
Ambernath East,1,466,5800000,466.0,12446.351931330471
Ambernath East,1,595,2565000,595.0,4310.924369747899
Ambernath East,2,1010,14500000,505.0,14356.435643564357
Ambernath East,1,690,3300000,690.0,4782.608695652174
Ambernath East,2,900,13899999,450.0,15444.443333333333
Ambernath East,1,625,3800000,625.0,6080.0
Ambernath East,1,725,4600000,725.0,6344.827586206897
Ambernath East,1,827,8600000,827.0,10399.032648125756
Ambernath West,1,690,2400000,690.0,3478.2608695652175
Ambernath West,1,634,2374000,634.0,3744.4794952681386
Ambernath West,1,634,2374000,634.0,3744.4794952681386
Ambernath West,1,728,11000000,728.0,15109.89010989011
Ambernath West,1,550,3100000,550.0,5636.363636363636
Ambernath West,1,630,2576000,630.0,4088.8888888888887
Ambernath West,1,644,2520000,644.0,3913.0434782608695
Ambernath West,1,709,2520000,709.0,3554.301833568406
Ambernath West,1,630,2576000,630.0,4088.8888888888887
Ambernath West,1,644,3064000,644.0,4757.76397515528
Ambernath West,1,630,3188000,630.0,5060.31746031746
Ambernath West,1,630,19000000,630.0,30158.73015873016
Ambernath West,1,644,19000000,644.0,29503.10559006211
Ambernath West,1,766,4800000,766.0,6266.318537859008
Ambernath West,1,797,8500000,797.0,10664.993726474278
Andheri,2,1100,18000000,550.0,16363.636363636364
Andheri,2,1000,14000000,500.0,14000.0
Andheri,3,1480,30000000,493.3333333333333,20270.27027027027
Andheri,4,3025,65300000,756.25,21586.77685950413
Andheri,2,1120,21800000,560.0,19464.285714285714
Andheri,3,1450,22200000,483.3333333333333,15310.344827586207
Andheri East,1,1050,16500000,1050.0,15714.285714285714
Andheri East,1,1020,14800000,1020.0,14509.803921568628
Andheri East,1,620,15000000,620.0,24193.548387096773
Andheri East,2,950,32500000,475.0,34210.52631578947
Andheri East,2,1000,22000000,500.0,22000.0
Andheri East,3,1300,35000000,433.3333333333333,26923.076923076922
Andheri East,1,550,12500000,550.0,22727.272727272728
Andheri East,1,600,8100000,600.0,13500.0
Andheri East,2,900,28000000,450.0,31111.11111111111
Andheri East,3,1113,25500000,371.0,22911.051212938004
Andheri East,2,742,21400000,371.0,28840.970350404314
Andheri East,3,1124,33100000,374.6666666666667,29448.398576512456
Andheri East,2,902,18500000,451.0,20509.977827050996
Andheri East,2,850,21000000,425.0,24705.882352941175
Andheri East,1,550,13500000,550.0,24545.454545454544
Andheri East,1,550,18100000,550.0,32909.09090909091
Andheri East,1,650,9500000,650.0,14615.384615384615
Andheri East,3,1113,32500000,371.0,29200.359389038633
Andheri East,2,742,21400000,371.0,28840.970350404314
Andheri East,1,426,11500000,426.0,26995.30516431925
Andheri East,2,716,15100000,358.0,21089.385474860333
Andheri East,2,850,17900000,425.0,21058.823529411766
Andheri East,2,700,20000000,350.0,28571.428571428572
Andheri East,1,802,12000000,802.0,14962.593516209476
Andheri East,1,650,17900000,650.0,27538.46153846154
Andheri East,1,864,12100000,864.0,14004.62962962963
Andheri East,1,650,13000000,650.0,20000.0
Andheri East,2,1200,27000000,600.0,22500.0
Andheri West,4,3300,110000000,825.0,33333.333333333336
Andheri West,2,997,28500000,498.5,28585.757271815448
Andheri West,3,1950,55000000,650.0,28205.128205128207
Andheri West,2,1361,31200000,680.5,22924.32035268185
Andheri West,1,390,17000000,390.0,43589.743589743586
Andheri West,1,723,12000000,723.0,16597.510373443984
Andheri West,3,2590,85000000,863.3333333333334,32818.53281853282
Andheri West,4,1800,80000000,450.0,44444.444444444445
Andheri West,3,3080,113400000,1026.6666666666667,36818.181818181816
Andheri West,4,3780,139500000,945.0,36904.76190476191
Andheri West,3,1875,75000000,625.0,40000.0
Andheri West,2,1400,35500000,700.0,25357.14285714286
Andheri West,1,650,13500000,650.0,20769.23076923077
Andheri West,3,1550,31000000,516.6666666666666,20000.0
Andheri West,3,1600,35000000,533.3333333333334,21875.0
Andheri West,3,1850,43000000,616.6666666666666,23243.243243243243
Andheri West,3,1600,37000000,533.3333333333334,23125.0
Andheri West,3,1166,22000000,388.6666666666667,18867.924528301886
Andheri West,2,790,19600000,395.0,24810.12658227848
Andheri West,3,1193,26500000,397.6666666666667,22212.908633696563
Andheri West,2,707,27799999,353.5,39321.07355021216
Andheri West,2,923,22200000,461.5,24052.004333694473
Andheri West,1,420,14600000,420.0,34761.90476190476
Andheri West,3,1174,55400000,391.3333333333333,47189.097103918226
Andheri West,3,1179,55700000,393.0,47243.42663273961
Andheri West,4,1648,62100000,412.0,37682.038834951454
Andheri West,4,1705,54500000,426.25,31964.809384164222
Andheri West,3,1418,59500000,472.6666666666667,41960.5077574048
Andheri West,3,1210,27000000,403.3333333333333,22314.04958677686
Andheri West,4,2500,42500000,625.0,17000.0
Andheri West,4,2550,99000000,637.5,38823.529411764706
Andheri West,2,930,39000000,465.0,41935.48387096774
Andheri West,4,1680,58000000,420.0,34523.80952380953
Andheri West,4,2400,47800000,600.0,19916.666666666668
Andheri West,4,2525,42500000,631.25,16831.68316831683
Andheri West,2,1250,36000000,625.0,28800.0
Andheri West,2,1003,31700000,501.5,31605.18444666002
Andheri West,2,1166,39000000,583.0,33447.68439108062
Andheri West,2,1250,51500000,625.0,41200.0
Andheri West,4,2780,51900000,695.0,18669.06474820144
Andheri West,3,2260,47600000,753.3333333333334,21061.94690265487
Andheri West,2,713,24800000,356.5,34782.608695652176
Andheri West,2,708,21400000,354.0,30225.988700564973
Andheri West,2,1100,30000000,550.0,27272.727272727272
Andheri West,2,934,22200000,467.0,23768.736616702354
Andheri West,2,960,22200000,480.0,23125.0
Andheri West,2,810,26700000,405.0,32962.96296296296
Andheri West,3,1357,42600000,452.3333333333333,31392.7781871776
Andheri West,4,1648,44300000,412.0,26881.06796116505
Andheri West,4,1705,65500000,426.25,38416.42228739003
Andheri West,3,1344,59500000,448.0,44270.833333333336
Andheri West,2,1250,32000000,625.0,25600.0
Andheri West,4,2050,37800000,512.5,18439.024390243903
Andheri West,3,1850,37000000,616.6666666666666,20000.0
Andheri West,1,600,8800000,600.0,14666.666666666666
Andheri West,2,1250,43000000,625.0,34400.0
Andheri West,2,1166,27300000,583.0,23413.37907375643
Andheri West,3,1509,42000000,503.0,27833.00198807157
Andheri West,1,650,8600000,650.0,13230.76923076923
Andheri West,1,650,13000000,650.0,20000.0
Andheri West,1,650,8500000,650.0,13076.923076923076
Andheri West,5,2590,65000000,518.0,25096.525096525096
Badlapur East,1,675,2865000,675.0,4244.444444444444
Badlapur East,1,675,2865000,675.0,4244.444444444444
Badlapur East,1,430,3979999,430.0,9255.811627906976
Badlapur East,1,500,7500000,500.0,15000.0
Badlapur East,1,500,2560000,500.0,5120.0
Badlapur East,1,441,2400000,441.0,5442.1768707483
Badlapur East,1,660,2650000,660.0,4015.151515151515
Badlapur East,1,710,3615000,710.0,5091.549295774648
Badlapur East,1,655,2150000,655.0,3282.442748091603
Badlapur East,1,655,2150000,655.0,3282.442748091603
Badlapur East,1,655,2250000,655.0,3435.114503816794
Badlapur East,1,655,2400000,655.0,3664.1221374045804
Badlapur East,1,700,2000000,700.0,2857.1428571428573
Badlapur East,1,655,3200000,655.0,4885.496183206107
Badlapur East,1,510,3565999,510.0,6992.154901960785
Badlapur East,1,615,2725000,615.0,4430.8943089430895
Badlapur East,1,535,3811999,535.0,7125.231775700935
Badlapur East,1,580,2575000,580.0,4439.6551724137935
Badlapur East,1,505,6800000,505.0,13465.346534653465
Badlapur East,1,672,8500000,672.0,12648.809523809523
Badlapur East,2,930,13000000,465.0,13978.494623655914
Badlapur East,1,450,3800000,450.0,8444.444444444445
Bandra East,3,1141,72000000,380.3333333333333,63102.54163014899
Bandra East,2,1305,60000000,652.5,45977.011494252874
Bandra East,1,425,7598999,425.0,17879.997647058823
Bandra East,1,425,35000000,425.0,82352.94117647059
Bandra East,1,425,2600000,425.0,6117.64705882353
Bandra East,2,1500,6500000,750.0,4333.333333333333
Bandra East,2,1100,2400000,550.0,2181.818181818182
Bandra East,3,1980,4425000,660.0,2234.848484848485
Bandra East,3,1700,4489000,566.6666666666666,2640.5882352941176
Bandra East,4,3000,6998999,750.0,2332.9996666666666
Bandra East,2,838,7100000,419.0,8472.55369928401
Bandra East,3,2000,16399999,666.6666666666666,8199.9995
Bandra West,2,850,30000000,425.0,35294.117647058825
Bandra West,2,850,25000000,425.0,29411.764705882353
Bandra West,3,1900,72500000,633.3333333333334,38157.89473684211
Bandra West,3,1750,75000000,583.3333333333334,42857.142857142855
Bandra West,2,1000,26000000,500.0,26000.0
Bandra West,2,750,7500000,375.0,10000.0
Bandra West,2,750,8500000,375.0,11333.333333333334
Bandra West,1,550,8700000,550.0,15818.181818181818
Bandra West,3,1824,70000000,608.0,38377.19298245614
Bandra West,3,1824,70000000,608.0,38377.19298245614
Bandra West,3,1409,30200000,469.6666666666667,21433.640880056777
Bandra West,2,1200,9500000,600.0,7916.666666666667
Bandra West,3,2255,52400000,751.6666666666666,23237.250554323724
Bandra West,2,1182,19400000,591.0,16412.85956006768
Bandra West,1,550,16000000,550.0,29090.909090909092
Bandra West,2,3000,2576000,1500.0,858.6666666666666
Belapur,2,1050,13500000,525.0,12857.142857142857
Belapur,2,1335,18000000,667.5,13483.14606741573
Belapur,3,1267,19000000,422.3333333333333,14996.05367008682
Belapur,5,5000,5700000,1000.0,1140.0
Belapur,2,1020,3700000,510.0,3627.450980392157
Belapur,2,1300,16200000,650.0,12461.538461538461
Belapur,2,1000,2210000,500.0,2210.0
Belapur,2,1020,3700000,510.0,3627.450980392157
Belapur,2,1000,6000000,500.0,6000.0
Belapur,3,1900,26000000,633.3333333333334,13684.21052631579
Belapur,3,1800,11399999,600.0,6333.332777777778
Belapur,2,1090,2250000,545.0,2064.2201834862385
Belapur,2,1335,5000000,667.5,3745.318352059925
Belapur,2,1350,4800000,675.0,3555.5555555555557
Belapur,2,1001,2150000,500.5,2147.852147852148
Belapur,2,1225,9800000,612.5,8000.0
Belapur,3,1850,14800000,616.6666666666666,8000.0
Belapur,3,1850,24000000,616.6666666666666,12972.972972972973
Bhandup West,1,425,5500000,425.0,12941.176470588236
Bhandup West,1,543,6800000,543.0,12523.020257826887
Bhandup West,1,510,5500000,510.0,10784.313725490196
Bhandup West,2,800,14000000,400.0,17500.0
Bhandup West,3,1225,6500000,408.3333333333333,5306.122448979592
Bhandup West,1,565,7800000,565.0,13805.309734513274
Bhandup West,1,650,8500000,650.0,13076.923076923076
Bhandup West,1,555,2900000,555.0,5225.225225225226
Bhandup West,4,1815,36000000,453.75,19834.710743801654
Bhandup West,3,1264,6998999,421.3333333333333,5537.182753164557
Bhandup West,3,2066,16000000,688.6666666666666,7744.433688286544
Bhandup West,3,2066,16000000,688.6666666666666,7744.433688286544
Bhandup West,3,1865,14800000,621.6666666666666,7935.656836461126
